id,Nursing License,Last Name,First Name,Starting Date,Shift,Cardiology Hours,Nephrology Hours,Transplant Hours,Respiratory Hours,ACEs,Preceptor,Charge RN,BLS,BLS Expiration Date,PALS,PALS Expiration Date,Employment Status,Username,Password
326844,AF5BBG,IAZFDUKLKF,PGGNWOWTH,2016/04/27,PM,True,True,True,True,True,False,True,False,2023/12/09,True,2025/06/16,Part Time,piazfd13,uF_3)u(G)Tp
341337,4CSH55,WNZG,TEAHJ,2015/04/08,PM,True,True,True,True,False,False,False,True,2025/02/14,True,2025/03/03,Full Time,twnzg10,"sohK+%P4+j],"
292127,JJKPRX,DWOCAEK,QKJDAGQDNJ,2016/10/16,PM,True,True,True,True,True,False,False,True,2024/11/24,False,2024/02/01,Full Time,qdwoca08,Jyvw^1V=1J
880640,540VV2,MWFIZLFGH,LVY,2015/01/04,PM,True,False,True,True,True,True,True,True,2025/05/03,False,2023/11/10,PRN,lmwfiz03,":D""\,aA,`D0"
960902,4GCD1Q,ADIUPAV,IYOSK,2016/03/05,PM,True,True,True,True,True,False,True,False,2024/01/03,False,2023/11/12,Part Time,iadiup10,#;bD%U6.Vh.B
157066,NY3BJV,KCHQISXMZJ,STGC,2018/06/21,PM,True,True,True,True,True,True,True,True,2025/02/22,False,2023/12/01,Full Time,skchqi20,=>I{\Yv)<cot
819627,KQKZ60,AAT,CZRSA,2017/06/02,PM,True,True,True,True,True,True,True,True,2025/08/27,False,2024/04/22,Part Time,caat05,xJ;MzPpX
599920,CHCZNW,VDEGSDZTXT,GOMY,2024/04/29,AM,True,True,True,True,True,False,True,False,2024/08/18,False,2024/07/08,Full Time,gvdegs19,y?yJS)bOqr&x
337430,O7Y60N,KWOCC,ZOH,2024/07/23,PM,False,True,True,True,True,True,False,False,2024/07/23,False,2024/11/03,Full Time,zkwocc16,"[Z`aP#$E{c,"
593520,57YQJJ,LUBZ,QFCGYI,2019/03/04,AM,True,True,True,True,True,True,False,False,2024/01/29,False,2023/12/27,Full Time,qlubz02,P|$4sF1jebz
448160,VQN9QO,HYXR,TYWDA,2023/01/12,PM,True,True,True,True,False,False,False,True,2024/12/12,False,2024/06/07,Part Time,thyxr08,:I^^W/R]q
